ampl.tab 1 7
GENTHE	bus_genThe	np_capThe	min_capThe	fuelThe	min_hrateThe	max_urThe	max_drThe
49 	 37540 	 374.08 	 120 	 SUB 	 10813 	 7.48 	 7.48
50 	 37578 	 152 	 0 	 JF2 	 16250 	 30.4 	 30.4
51 	 37579 	 152 	 0 	 JF 	 16250 	 30.4 	 30.4
52 	 37522 	 1224.9 	 429 	 UR2 	 12009 	 24.5 	 24.5
53 	 37523 	 1224.9 	 429 	 UR 	 12009 	 24.5 	 24.5
54 	 37524 	 1224.9 	 425 	 UR3 	 11806 	 24.5 	 24.5
55 	 37525 	 1224.9 	 425 	 UR 	 11641 	 24.5 	 24.5
57 	 37527 	 544.95 	 48 	 NG2 	 14010 	 27.25 	 27.25
58 	 37528 	 518.94 	 29 	 NG 	 14010 	 25.95 	 25.95
59 	 37547 	 1170.27 	 422 	 UR2 	 11336 	 23.41 	 23.41
60 	 37548 	 1170.27 	 422 	 UR 	 11141 	 23.41 	 23.41
62 	 37554 	 388.96 	 88.98 	 SUB 	 13195 	 7.78 	 7.78
63 	 33481 	 183.38 	 84.5 	 BIT4 	 10306 	 5.5 	 5.5
64 	 33482 	 183.38 	 84.5 	 BIT6 	 10306 	 5.5 	 5.5
65 	 33483 	 183.38 	 84.5 	 BIT5 	 10306 	 5.5 	 5.5
66 	 33484 	 183.38 	 84.5 	 BIT3 	 10306 	 5.5 	 5.5
67 	 33485 	 183.38 	 84.5 	 BIT2 	 10306 	 5.5 	 5.5
68 	 33486 	 183.38 	 84.5 	 BIT 	 10306 	 5.5 	 5.5
69 	 32346 	 984.88 	 944 	 UR 	 11335 	 19.7 	 19.7
71 	 32274 	 634.5 	 400 	 BIT2 	 9824 	 12.69 	 12.69
72 	 32274 	 634.5 	 100 	 BIT 	 8502 	 12.69 	 12.69
74 	 32407 	 588.48 	 173 	 BIT 	 9779 	 9.77 	 9.77
75 	 32443 	 75 	 40 	 BIT2 	 9445 	 2.25 	 2.25
76 	 32442 	 231.25 	 100 	 BIT 	 9357 	 6.94 	 6.94
77 	 32436 	 35.1 	 0 	 NG2 	 16600 	 7.02 	 7.02
78 	 32437 	 35.11 	 0 	 NG 	 16600 	 7.02 	 7.02
79 	 32439 	 47.6 	 0 	 NG2 	 16750 	 9.52 	 9.52
80 	 32440 	 47.6 	 0 	 NG 	 16750 	 9.52 	 9.52
81 	 32390 	 108.8 	 26 	 BIT2 	 10175 	 3.26 	 3.26
82 	 32445 	 15 	 0 	 FO2 	 18617 	 3 	 3
83 	 32273 	 73.5 	 22 	 BIT 	 9742 	 2.21 	 2.21
84 	 32271 	 50 	 10 	 NG 	 11583 	 2.5 	 2.5
85 	 32272 	 50 	 10 	 NG2 	 11583 	 2.5 	 2.5
86 	 32287 	 50 	 10 	 NG4 	 11583 	 2.5 	 2.5
88 	 32441 	 387.6 	 280 	 BIT 	 11818 	 11.63 	 11.63
89 	 32393 	 176 	 0 	 NG 	 9965 	 35.2 	 35.2
90 	 33385 	 100 	 0 	 BIT2 	 15000 	 3 	 3
93 	 33388 	 173 	 85 	 BIT 	 12000 	 5.19 	 5.19
157 	 33389 	 166 	 0 	 NG 	 10480 	 33.2 	 33.2
94 	 30073 	 71 	 0 	 NG 	 10440 	 14.2 	 14.2
96 	 33302 	 207.36 	 96 	 BIT 	 12338 	 6.22 	 6.22
97 	 33303 	 75 	 39 	 BIT 	 15017 	 2.25 	 2.25
98 	 33304 	 17.55 	 0 	 FO2 	 16745 	 3.51 	 3.51
99 	 33305 	 138.6 	 0 	 NG 	 19940 	 27.72 	 27.72
100 	 33316 	 26.64 	 0 	 FO2 	 13531 	 5.33 	 5.33
101 	 31878 	 37.5 	 0 	 FO2 	 11218 	 7.5 	 7.5
102 	 30992 	 22 	 11 	 BIT 	 9650 	 0.66 	 0.66
103 	 30992 	 24 	 0 	 FO2 	 18250 	 4.8 	 4.8
104 	 30016 	 60 	 0 	 NG3 	 11665 	 12 	 12
105 	 30017 	 40 	 0 	 NG2 	 16084 	 8 	 8
106 	 30019 	 25 	 0 	 NG 	 17504 	 5 	 5
109 	 35993 	 83 	 0 	 NG7 	 10480 	 16.6 	 16.6
110 	 35994 	 83 	 0 	 NG6 	 10480 	 16.6 	 16.6
111 	 35995 	 83 	 0 	 NG5 	 10480 	 16.6 	 16.6
112 	 35996 	 83 	 0 	 NG4 	 10480 	 16.6 	 16.6
113 	 35997 	 83 	 0 	 NG3 	 10480 	 16.6 	 16.6
114 	 35998 	 83 	 0 	 NG2 	 10480 	 16.6 	 16.6
115 	 30670 	 250 	 125 	 NG 	 8026 	 12.5 	 12.5
116 	 30671 	 250 	 125 	 NG3 	 8026 	 12.5 	 12.5
118 	 37657 	 250 	 125 	 NG3 	 8330 	 12.5 	 12.5
119 	 37659 	 250 	 125 	 NG2 	 8330 	 12.5 	 12.5
120 	 37661 	 250 	 125 	 NG 	 8330 	 12.5 	 12.5
122 	 37700 	 286 	 143 	 NG3 	 8330 	 14.3 	 14.3
123 	 37700 	 286 	 143 	 NG2 	 8330 	 14.3 	 14.3
124 	 37700 	 286 	 143 	 NG 	 8330 	 14.3 	 14.3
125 	 37616 	 250 	 125 	 NG2 	 8330 	 12.5 	 12.5
126 	 37616 	 250 	 125 	 NG 	 8330 	 12.5 	 12.5
129 	 37601 	 220 	 0 	 NG8 	 9420 	 68 	 68
130 	 37601 	 170 	 0 	 NG7 	 9420 	 34 	 34
131 	 37606 	 172 	 0 	 NG5 	 9420 	 34.4 	 34.4
132 	 37606 	 172 	 0 	 NG4 	 9420 	 34.4 	 34.4
133 	 37606 	 172 	 0 	 NG3 	 9420 	 34.4 	 34.4
134 	 37606 	 172 	 0 	 NG2 	 9420 	 34.4 	 34.4
135 	 37606 	 172 	 0 	 NG 	 9420 	 34.4 	 34.4
138 	 35983 	 83 	 0 	 NG7 	 10480 	 16.6 	 16.6
139 	 35984 	 83 	 0 	 NG6 	 10480 	 16.6 	 16.6
140 	 35985 	 83 	 0 	 NG5 	 10480 	 16.6 	 16.6
141 	 35986 	 83 	 0 	 NG4 	 10480 	 16.6 	 16.6
142 	 35987 	 83 	 0 	 NG3 	 10480 	 16.6 	 16.6
143 	 35988 	 83 	 0 	 NG2 	 10480 	 16.6 	 16.6
144 	 33471 	 72 	 0 	 NG5 	 9980 	 14.4 	 14.4
145 	 33472 	 72 	 0 	 NG4 	 9980 	 14.4 	 14.4
146 	 33473 	 72 	 0 	 NG3 	 9980 	 14.4 	 14.4
147 	 33475 	 102 	 0 	 NG2 	 8905 	 20.4 	 20.4
148 	 30729 	 300 	 150 	 NG2 	 7024 	 15 	 15
149 	 30731 	 300 	 150 	 NG 	 7024 	 15 	 15
150 	 37620 	 171 	 0 	 NG3 	 9890 	 34.2 	 34.2
152 	 37621 	 171 	 85.5 	 NG 	 8330 	 8.55 	 8.55
153 	 37609 	 35 	 0 	 NG4 	 10880 	 7 	 7
154 	 37609 	 121 	 0 	 NG3 	 10100 	 24.2 	 24.2
155 	 37609 	 121 	 0 	 NG2 	 10100 	 24.2 	 24.2
156 	 37608 	 121 	 0 	 NG 	 10100 	 24.2 	 24.2
158 	 31886 	 60 	 0 	 NG 	 10670 	 12 	 12
159 	 37624 	 152.5 	 0 	 NG2 	 9890 	 30.5 	 30.5
160 	 37624 	 152.5 	 0 	 NG 	 9890 	 30.5 	 30.5
162 	 37647 	 160 	 0 	 NG3 	 9660 	 32 	 32
163 	 37647 	 160 	 0 	 NG 	 9660 	 32 	 32
164 	 30876 	 135 	 0 	 NG2 	 11400 	 27 	 27
165 	 30877 	 135 	 0 	 NG 	 11400 	 27 	 27
166 	 30612 	 135 	 0 	 NG2 	 11400 	 27 	 27
167 	 30613 	 135 	 0 	 NG 	 11400 	 27 	 27
168 	 31501 	 48.25 	 0 	 NG 	 11025 	 9.65 	 9.65
169 	 31502 	 48.25 	 0 	 NG2 	 11025 	 9.65 	 9.65
170 	 31503 	 48.25 	 0 	 NG4 	 11025 	 9.65 	 9.65
171 	 31504 	 48.25 	 0 	 NG5 	 11025 	 9.65 	 9.65
173 	 31506 	 96.5 	 0 	 NG6 	 11025 	 19.3 	 19.3
174 	 37681 	 66 	 0 	 NG4 	 11990 	 13.2 	 13.2
175 	 37682 	 66 	 0 	 NG6 	 11990 	 13.2 	 13.2
177 	 37684 	 66 	 0 	 NG7 	 11990 	 13.2 	 13.2
178 	 37685 	 66 	 0 	 NG3 	 11990 	 13.2 	 13.2
179 	 37686 	 66 	 0 	 NG2 	 11990 	 13.2 	 13.2
184 	 37691 	 37.5 	 0 	 NG9 	 10880 	 7.5 	 7.5
185 	 37692 	 37.5 	 0 	 NG8 	 10880 	 7.5 	 7.5
186 	 37693 	 37.5 	 0 	 NG7 	 10880 	 7.5 	 7.5
187 	 37694 	 37.5 	 0 	 NG6 	 10880 	 7.5 	 7.5
188 	 37695 	 37.5 	 0 	 NG5 	 10880 	 7.5 	 7.5
189 	 37696 	 37.5 	 0 	 NG4 	 10880 	 7.5 	 7.5
190 	 37697 	 37.5 	 0 	 NG3 	 10880 	 7.5 	 7.5
191 	 37698 	 37.5 	 0 	 NG 	 10880 	 7.5 	 7.5
192 	 31322 	 44 	 0 	 NG 	 10710 	 8.8 	 8.8
193 	 31323 	 44 	 0 	 NG2 	 10710 	 8.8 	 8.8
194 	 31324 	 44 	 0 	 NG3 	 10710 	 8.8 	 8.8
195 	 31325 	 44 	 0 	 NG4 	 10710 	 8.8 	 8.8
196 	 31326 	 44 	 0 	 NG5 	 10710 	 8.8 	 8.8
197 	 31327 	 44 	 0 	 NG6 	 10710 	 8.8 	 8.8
198 	 31328 	 44 	 0 	 NG7 	 10710 	 8.8 	 8.8
200 	 37633 	 270 	 0 	 NG 	 10440 	 54 	 54
201 	 37637 	 170 	 0 	 NG2 	 9420 	 34 	 34
202 	 37637 	 170 	 0 	 NG3 	 9420 	 34 	 34
203 	 37634 	 170 	 0 	 NG4 	 9420 	 34 	 34
206 	 37611 	 89 	 0 	 NG4 	 10420 	 17.8 	 17.8
207 	 37612 	 89 	 0 	 NG2 	 10420 	 17.8 	 17.8
208 	 37613 	 89 	 0 	 NG 	 10420 	 17.8 	 17.8
211 	 37675 	 41 	 0 	 NG6 	 10880 	 8.2 	 8.2
212 	 37676 	 41 	 0 	 NG5 	 10880 	 8.2 	 8.2
213 	 37677 	 41 	 0 	 NG4 	 10880 	 8.2 	 8.2
214 	 37678 	 41 	 0 	 NG3 	 10880 	 8.2 	 8.2
215 	 37679 	 41 	 0 	 NG2 	 10880 	 8.2 	 8.2
216 	 37680 	 41 	 0 	 NG 	 10880 	 8.2 	 8.2
217 	 37644 	 270 	 0 	 NG2 	 10100 	 54 	 54
218 	 37645 	 270 	 0 	 NG 	 10100 	 54 	 54
221 	 31996 	 80 	 0 	 NG2 	 12000 	 16 	 16
222 	 31997 	 80 	 0 	 NG 	 12000 	 16 	 16
223 	 33073 	 10 	 0 	 NG2 	 18000 	 2 	 2
224 	 33084 	 21 	 0 	 NG 	 18000 	 4.2 	 4.2
225 	 33088 	 13 	 0 	 FO2 	 9212 	 2.6 	 2.6
226 	 33159 	 13 	 0 	 FO22 	 9212 	 2.6 	 2.6
229 	 32711 	 75 	 0 	 NG4 	 12000 	 15 	 15
230 	 32712 	 75 	 0 	 NG3 	 12000 	 15 	 15
231 	 32713 	 75 	 0 	 NG2 	 12000 	 15 	 15
232 	 32714 	 75 	 0 	 NG 	 12000 	 15 	 15
234 	 37630 	 39 	 0 	 NG3 	 12100 	 7.8 	 7.8
235 	 37631 	 39 	 0 	 NG2 	 12100 	 7.8 	 7.8
236 	 37631 	 57 	 0 	 NG 	 12100 	 2.85 	 2.85
