ampl.tab 1 7
LIN	status	snd_bus	rec_bus	X	V	Pmax	install_cost
31015_31550	installed	31015	31550	0.016400	138	72	0
31015_31559	installed	31015	31559	0.017600	138	287	0
31015_31437	installed	31015	31437	0.031600	161	300	0
31023_33391	installed	31023	33391	0.098800	161	278	0
31023_31026	installed	31023	31026	0.006200	161	287	0
31023_33351	installed	31023	33351	0.007100	161	286	0
31026_31383	installed	31026	31383	0.014400	138	168	0
31034_31230	installed	31034	31230	0.456598	345	10000	0
31034_31747	installed	31034	31747	0.828455	345	10000	0
31034_31437	installed	31034	31437	0.055400	161	223	0
31054_32410	installed	31054	32410	0.079700	138	137	0
31062_31063	installed	31062	31063	0.019800	138	279	0
31063_31322	installed	31063	31322	0.055700	138	477	0
31114_31755	installed	31114	31755	0.066800	138	285	0
31114_31115	installed	31114	31115	0.297700	138	50	0
31180_31185	installed	31180	31185	0.031200	138	235	0
31180_32412	installed	31180	32412	0.082200	138	157	0
31180_31558	installed	31180	31558	0.178400	138	287	0
31180_31184	installed	31180	31184	0.038900	138	240	0
31181_31183	installed	31181	31183	0.143800	69	66	0
31181_31182	installed	31181	31182	0.143900	69	66	0
31211_31213	installed	31211	31213	0.014000	138	477	0
31211_31212	installed	31211	31212	0.014000	138	477	0
31212_31764	installed	31212	31764	0.037500	138	280	0
31212_31652	installed	31212	31652	0.015000	138	285	0
31213_31652	installed	31213	31652	0.015000	138	285	0
31213_31755	installed	31213	31755	0.037500	138	280	0
31230_64400	installed	31230	64400	0.357193	345	10000	0
31230_31764	installed	31230	31764	0.392815	345	10000	0
31230_64405	installed	31230	64405	0.212087	345	10000	0
31230_31755	installed	31230	31755	0.380047	345	10000	0
31230_31437	installed	31230	31437	0.065151	345	10000	0
31230_31747	installed	31230	31747	0.032637	345	10000	0
31248_33392	installed	31248	33392	0.069800	161	56	0
31256_32369	installed	31256	32369	0.013700	138	72	0
31273_31876	installed	31273	31876	0.002800	138	348	0
31289_31916	installed	31289	31916	0.080400	138	208	0
31289_31351	installed	31289	31351	0.093800	138	198	0
31297_31739	installed	31297	31739	0.066400	138	477	0
31297_31849	installed	31297	31849	0.046200	138	207	0
31313_31342	installed	31313	31342	0.090800	69	67	0
31319_31322	installed	31319	31322	0.221480	138	60	0
31320_31500	installed	31320	31500	0.022500	230	475	0
31321_31322	installed	31321	31322	0.027500	345	448	0
31321_31991	installed	31321	31991	0.007300	345	1191	0
31322_31731	installed	31322	31731	0.068300	138	279	0
31323_31322	installed	31323	31322	0.221480	138	60	0
31324_31322	installed	31324	31322	0.221480	138	60	0
31325_31322	installed	31325	31322	0.221480	138	60	0
31326_31322	installed	31326	31322	0.221480	138	60	0
31327_31322	installed	31327	31322	0.221480	138	60	0
31328_31322	installed	31328	31322	0.221480	138	60	0
31329_31322	installed	31329	31322	0.221480	138	600	0
31330_31993	installed	31330	31993	0.012000	345	1195	0
31331_31626	installed	31331	31626	0.126400	138	251	0
31332_31330	installed	31332	31330	0.012600	345	672	0
31333_31330	installed	31333	31330	0.012300	345	690	0
31340_34181	installed	31340	34181	0.049420	161	223	0
31340_31342	installed	31340	31342	0.104400	161	84	0
31340_31341	installed	31340	31341	0.019300	161	300	0
31350_31351	installed	31350	31351	0.027000	345	287	0
31437_34181	installed	31437	34181	0.316567	161	10000	0
31437_64400	installed	31437	64400	0.483970	345	10000	0
31437_64405	installed	31437	64405	0.304832	345	10000	0
31445_31446	installed	31445	31446	0.027300	345	400	0
31445_36343	installed	31445	36343	0.017900	345	1195	0
31446_32355	installed	31446	32355	0.000100	138	418	0
31446_31806	installed	31446	31806	0.050700	138	279	0
31446_31731	installed	31446	31731	0.065900	138	279	0
31446_31568	installed	31446	31568	0.071700	138	279	0
31462_31463	installed	31462	31463	0.033400	345	450	0
31462_36342	installed	31462	36342	0.003000	345	450	0
31463_31908	installed	31463	31908	0.049500	138	203	0
31463_31806	installed	31463	31806	0.070600	138	251	0
31471_31472	installed	31471	31472	0.003700	138	168	0
31472_31618	installed	31472	31618	0.054700	138	175	0
31489_31870	installed	31489	31870	0.694080	138	10000	0
31500_31505	installed	31500	31505	0.109200	230	78	0
31500_31785	installed	31500	31785	0.015500	230	475	0
31500_31504	installed	31500	31504	0.220500	230	45	0
31500_31501	installed	31500	31501	0.218300	230	45	0
31500_31506	installed	31500	31506	0.109200	230	78	0
31500_31502	installed	31500	31502	0.220100	230	45	0
31500_31503	installed	31500	31503	0.220200	230	45	0
31525_31747	installed	31525	31747	0.888484	345	10000	0
31558_31559	installed	31558	31559	0.012700	138	289	0
31559_31698	installed	31559	31698	0.000100	138	287	0
31567_31991	installed	31567	31991	0.007300	345	1191	0
31567_31568	installed	31567	31568	0.028000	345	382	0
31576_32383	installed	31576	32383	0.056200	138	279	0
31576_31618	installed	31576	31618	0.028700	138	151	0
31584_31925	installed	31584	31925	0.064300	138	208	0
31592_31877	installed	31592	31877	0.020200	138	285	0
31618_31739	installed	31618	31739	0.076500	138	175	0
31651_32278	installed	31651	32278	0.004100	345	1369	0
31651_32280	installed	31651	32280	0.000100	345	1325	0
31651_31747	installed	31651	31747	0.006300	345	1195	0
31651_31652	installed	31651	31652	0.019700	345	560	0
31652_32289	installed	31652	32289	0.016200	138	412	0
31652_32287	installed	31652	32287	0.018100	138	283	0
31679_31680	installed	31679	31680	0.345520	138	10000	0
31679_31681	installed	31679	31681	0.363200	138	10000	0
31680_31681	installed	31680	31681	0.348680	138	10000	0
31739_32388	installed	31739	32388	0.000100	138	330	0
31747_31764	installed	31747	31764	0.203227	345	10000	0
31755_31764	installed	31755	31764	0.108160	138	10000	0
31785_31924	installed	31785	31924	0.029800	230	475	0
31806_31807	installed	31806	31807	0.034300	138	207	0
31825_31826	installed	31825	31826	0.450000	138	33	0
31825_31877	installed	31825	31877	0.005600	138	287	0
31849_31850	installed	31849	31850	0.019600	138	207	0
31870_32306	installed	31870	32306	0.031180	138	256	0
31870_32597	installed	31870	32597	0.012090	138	210.1	0
31876_31879	installed	31876	31879	0.084600	138	143	0
31876_32302	installed	31876	32302	0.003800	138	280	0
31876_31884	installed	31876	31884	0.094600	138	120	0
31877_31886	installed	31877	31886	0.090000	138	70	0
31877_31883	installed	31877	31883	0.095800	138	120	0
31877_31885	installed	31877	31885	0.095800	138	120	0
31877_31882	installed	31877	31882	0.095800	138	120	0
31878_32305	installed	31878	32305	0.054790	69	96	0
31878_31879	installed	31878	31879	0.000100	69	143	0
31878_31881	installed	31878	31881	0.189000	69	48	0
31879_31880	installed	31879	31880	0.189000	69	48	0
31879_32305	installed	31879	32305	0.111800	69	59	0
31880_31881	installed	31880	31881	0.000100	13.8	143	0
31916_31925	installed	31916	31925	0.019900	138	287	0
31916_33354	installed	31916	33354	0.019400	138	245	0
31924_31925	installed	31924	31925	0.019300	230	600	0
31925_32337	installed	31925	32337	0.067570	138	143	0
31993_32327	installed	31993	32327	0.018240	345	1195	0
31994_31998	installed	31994	31998	0.101630	100	235	0
31995_31998	installed	31995	31998	0.102810	100	135	0
31996_31999	installed	31996	31999	0.101470	100	135	0
31997_31999	installed	31997	31999	0.102670	100	135	0
31998_31993	installed	31998	31993	0.004150	345	225	0
31999_31993	installed	31999	31993	0.004000	345	225	0
32268_32392	installed	32268	32392	0.006650	138	364.5	0
32268_32389	installed	32268	32389	0.000100	138	364.5	0
32269_32389	installed	32269	32389	0.177300	138	114.6	0
32269_32615	installed	32269	32615	0.475850	34.5	10000	0
32269_32374	installed	32269	32374	0.241900	138	78.4	0
32271_32643	installed	32271	32643	0.311410	34.5	10000	0
32271_32287	installed	32271	32287	0.139100	138	105	0
32272_32640	installed	32272	32640	0.270400	34.5	10000	0
32272_32289	installed	32272	32289	0.156680	138	110	0
32273_32616	installed	32273	32616	0.284170	69	10000	0
32273_32625	installed	32273	32625	0.181600	69	10000	0
32274_32327	installed	32274	32327	0.025100	345	1297	0
32274_32278	installed	32274	32278	0.022700	345	1297	0
32274_32276	installed	32274	32276	0.010400	345	1100	0
32275_33355	installed	32275	33355	0.002130	138	245	0
32275_32321	installed	32275	32321	0.007600	138	526	0
32275_32274	installed	32275	32274	0.023100	345	448	0
32277_32324	installed	32277	32324	0.034800	138	210	0
32277_32276	installed	32277	32276	0.022000	345	672	0
32277_32310	installed	32277	32310	0.072800	138	519	0
32277_32307	installed	32277	32307	0.019100	138	287	0
32277_32311	installed	32277	32311	0.008900	138	259	0
32279_32294	installed	32279	32294	0.030200	138	195	0
32279_32278	installed	32279	32278	0.020600	345	560	0
32279_32439	installed	32279	32439	0.260000	138	50	0
32279_32300	installed	32279	32300	0.018800	138	383.2	0
32279_32440	installed	32279	32440	0.255000	138	50	0
32279_32999	installed	32279	32999	0.019030	138	277.3	0
32281_32282	installed	32281	32282	0.016300	138	210	0
32282_32325	installed	32282	32325	0.026400	138	210	0
32283_32297	installed	32283	32297	0.035810	138	157	0
32283_32330	installed	32283	32330	0.039500	138	380	0
32283_32296	installed	32283	32296	0.018400	138	330	0
32284_32285	installed	32284	32285	0.026910	138	164	0
32284_32319	installed	32284	32319	0.009640	138	82	0
32284_32286	installed	32284	32286	0.023600	138	210	0
32285_32320	installed	32285	32320	0.003390	138	164	0
32286_32315	installed	32286	32315	0.000100	138	278.5	0
32286_32316	installed	32286	32316	0.018600	138	210	0
32287_32290	installed	32287	32290	0.004900	138	330	0
32287_32289	installed	32287	32289	0.000200	138	550	0
32288_32355	installed	32288	32355	0.117900	138	210	0
32288_32331	installed	32288	32331	0.022450	138	159	0
32288_32330	installed	32288	32330	0.021400	138	210	0
32289_32299	installed	32289	32299	0.054900	138	287	0
32289_32441	installed	32289	32441	0.023500	138	448	0
32289_32291	installed	32289	32291	0.005000	138	330	0
32290_32292	installed	32290	32292	0.017100	138	210	0
32291_32298	installed	32291	32298	0.085000	138	210	0
32292_32294	installed	32292	32294	0.021500	138	164	0
32293_32320	installed	32293	32320	0.022700	138	210.1	0
32293_33358	installed	32293	33358	0.009300	138	245	0
32295_32298	installed	32295	32298	0.015110	138	210	0
32296_32298	installed	32296	32298	0.011200	138	287	0
32299_32300	installed	32299	32300	0.000780	138	253	0
32300_32301	installed	32300	32301	0.008290	138	380	0
32301_32305	installed	32301	32305	0.051890	138	10000	0
32301_32302	installed	32301	32302	0.009600	138	280	0
32302_32303	installed	32302	32303	0.006400	138	380	0
32303_32304	installed	32303	32304	0.003300	138	27	0
32307_32308	installed	32307	32308	0.017630	138	283.5	0
32308_32570	installed	32308	32570	0.023030	138	210	0
32309_32999	installed	32309	32999	0.014370	138	278.5	0
32309_32570	installed	32309	32570	0.003370	138	210	0
32310_32530	installed	32310	32530	0.024350	138	142	0
32311_32567	installed	32311	32567	0.011100	138	210.1	0
32311_32312	installed	32311	32312	0.047700	138	299	0
32312_32322	installed	32312	32322	0.024100	138	380	0
32312_32313	installed	32312	32313	0.018200	138	105	0
32313_32314	installed	32313	32314	0.061200	138	105	0
32314_32323	installed	32314	32323	0.018000	138	355	0
32314_32315	installed	32314	32315	0.005800	138	278.5	0
32316_31320	installed	32316	31320	0.049400	230	140	0
32321_32322	installed	32321	32322	0.030100	138	330	0
32321_32323	installed	32321	32323	0.011900	138	421	0
32324_32325	installed	32324	32325	0.037500	138	210	0
32325_32340	installed	32325	32340	0.023330	138	210	0
32326_32340	installed	32326	32340	0.041470	138	210	0
